,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MarkerSet:elbow,MarkerSet:elbow,MarkerSet:elbow,MarkerSet:forearm,MarkerSet:forearm,MarkerSet:forearm,MarkerSet:humerus,MarkerSet:humerus,MarkerSet:humerus,MarkerSet:index,MarkerSet:index,MarkerSet:index,MarkerSet:radial,MarkerSet:radial,MarkerSet:radial,MarkerSet:shoulder,MarkerSet:shoulder,MarkerSet:shoulder,MarkerSet:sternum 1,MarkerSet:sternum 1,MarkerSet:sternum 1,MarkerSet:sternum 2,MarkerSet:sternum 2,MarkerSet:sternum 2,MarkerSet:thumb,MarkerSet:thumb,MarkerSet:thumb,MarkerSet:ulnar,MarkerSet:ulnar,MarkerSet:ulnar,MarkerSet:wrist,MarkerSet:wrist,MarkerSet:wrist,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3
,ID,"7EC47835DD5A11EA125D068ACBD87AA4","7EC47835DD5A11EA125D068ACBD87AA4","7EC47835DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","7EC47836DD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","76D9990ADD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","8DB28EB8DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","864C7EE4DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","76D99909DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","70C13C43DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","76D99908DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","8DB28EB7DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","864C7EE5DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","7EC47837DD5A11EA125D068ACBD87AA4","C6750","C6750","C6750","C6890","C6890","C6890","C69C0","C69C0","C69C0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,94.583000,-338.297821,1426.826782,-48.079254,-401.675781,1457.888062,115.369240,-177.990097,1415.019165,-337.125519,-439.580933,1501.644165,-155.193161,-344.516235,1521.611694,133.976563,-11.242292,1443.299683,-103.746864,5.475024,1679.543579,-26.958035,66.879547,1653.817139,-281.414001,-341.554688,1560.534424,-136.384125,-437.158112,1503.246704,-224.165894,-407.085846,1478.124512,-491.929108,-73.164864,1632.190186,-488.439362,-5.804779,1593.949951,-438.887665,-16.229380,1587.540161
7,0.058333,94.589706,-338.287781,1426.816284,-48.074669,-401.646912,1457.822754,115.379501,-177.950424,1414.715332,-337.132080,-439.594330,1501.690918,-155.188477,-344.516815,1521.590820,133.986374,-11.227580,1443.307007,-103.745506,5.497602,1679.458252,-26.951765,66.887817,1653.802856,-281.480499,-341.557922,1560.478149,-136.367813,-437.149048,1503.239746,-224.151840,-407.087158,1478.121216,-491.934509,-73.160172,1632.188965,-488.440674,-5.800714,1593.947754,-438.892212,-16.234219,1587.527588
8,0.066667,94.599274,-338.290588,1426.857544,-48.054161,-401.647736,1457.840454,115.394119,-177.978592,1415.034180,-337.126160,-439.608124,1501.723999,-155.156387,-344.503784,1521.428955,133.996857,-11.254707,1443.291382,-103.739029,5.484969,1679.469727,-26.944313,66.882095,1653.798706,-281.424927,-341.566681,1560.543457,-136.383041,-437.148926,1503.253052,-224.141891,-407.093292,1478.140991,-491.958618,-73.148766,1632.259033,-488.459564,-5.793849,1594.010376,-438.897980,-16.200413,1587.648193
9,0.075000,94.613419,-338.280090,1426.819092,-48.045303,-401.651398,1457.832275,115.404747,-177.969070,1414.977539,-337.104584,-439.574982,1501.642944,-155.172180,-344.519806,1521.563599,134.006973,-11.236776,1443.271606,-103.752487,5.530437,1679.506104,-26.941704,66.936676,1653.833862,-281.411865,-341.559418,1560.498535,-136.311829,-437.088806,1503.155273,-224.136948,-407.098328,1478.145874,-491.946472,-73.161407,1632.247437,-488.455078,-5.801743,1594.006470,-438.894012,-16.205751,1587.636108
10,0.083333,94.626823,-338.284180,1426.876587,-48.024097,-401.662201,1457.868652,115.423607,-177.960587,1415.011841,-337.067139,-439.542511,1501.535034,-155.132935,-344.503876,1521.453491,134.013870,-11.235631,1443.206421,-103.753700,5.576993,1679.476929,-26.937532,66.959625,1653.837891,-281.407898,-341.568207,1560.548950,-136.356705,-437.174469,1503.291626,-224.130203,-407.092377,1478.113037,-491.925201,-73.159904,1632.156372,-488.428192,-5.796395,1593.922729,-438.878479,-16.227510,1587.508667
11,0.091667,94.637581,-338.277527,1426.841309,-48.031189,-401.652313,1457.864014,115.444908,-177.929810,1414.779541,-337.104706,-439.592834,1501.655518,-155.146912,-344.526276,1521.592285,134.035156,-11.217944,1443.203491,-103.764526,5.587607,1679.436279,-26.945333,66.982849,1653.779419,-281.334564,-341.529938,1560.318115,-136.292786,-437.084564,1503.113403,-224.128693,-407.099274,1478.141968,-491.942535,-73.170532,1632.248779,-488.458893,-5.806867,1594.014160,-438.895752,-16.202608,1587.646362
12,0.100000,94.645401,-338.276978,1426.854248,-48.023720,-401.647858,1457.825073,115.454559,-177.935822,1414.801025,-337.110596,-439.592834,1501.648926,-155.123169,-344.492096,1521.468018,134.050751,-11.229655,1443.173218,-103.778023,5.616782,1679.538452,-26.952877,67.007545,1653.808716,-281.321045,-341.507416,1560.244873,-136.282257,-437.089264,1503.057983,-224.123199,-407.103088,1478.131592,-491.951935,-73.172333,1632.250488,-488.458740,-5.794421,1594.041870,-438.903442,-16.209160,1587.643921
13,0.108333,94.649658,-338.271271,1426.891724,-48.010632,-401.657196,1457.867798,115.450302,-177.924530,1414.777588,-337.092194,-439.596649,1501.633911,-155.122116,-344.507599,1521.469116,134.044800,-11.225390,1443.193970,-103.771324,5.622358,1679.486572,-26.942503,67.005096,1653.783203,-281.404175,-341.579224,1560.541016,-136.290192,-437.102905,1503.144897,-224.113403,-407.093658,1478.102783,-491.925781,-73.166847,1632.146240,-488.429138,-5.798614,1593.920776,-438.882629,-16.236099,1587.492065
14,0.116667,94.649261,-338.263855,1426.901123,-48.004585,-401.674225,1457.928589,115.457024,-177.926804,1414.783691,-337.093781,-439.605469,1501.660034,-155.139496,-344.516632,1521.436523,134.048660,-11.216192,1443.260742,-103.761681,5.629644,1679.471313,-26.935490,67.023026,1653.787476,-281.435883,-341.598297,1560.469604,-136.294388,-437.100525,1503.162964,-224.120605,-407.118011,1478.124146,-491.932983,-73.157486,1632.213867,-488.460571,-5.783392,1593.996704,-438.923248,-16.231276,1587.514282
15,0.125000,94.642944,-338.259369,1426.894287,-48.009506,-401.667480,1457.903564,115.448822,-177.935226,1414.827271,-337.086151,-439.591248,1501.612183,-155.164337,-344.522491,1521.515015,134.043915,-11.222691,1443.222168,-103.769409,5.654067,1679.408813,-26.935715,67.019562,1653.750366,-281.433380,-341.580017,1560.518311,-136.293381,-437.091644,1503.155273,-224.119278,-407.120636,1478.136230,-491.945007,-73.158440,1632.206909,-488.448273,-5.799688,1593.964844,-438.887909,-16.207455,1587.595215
